Time_h,Tech_rep,Bio_rep,Donor_OD,Recipient_OD,Transconjugant_OD
17.51351351,6,1,0.27057769,0.231402045,0.299125592
17.83783784,6,1,0.282808352,0.239624651,0.304911157
18.16216216,6,1,0.287803714,0.239090342,0.30509278
18.48648649,6,1,0.294990031,0.240423849,0.311614887
18.81081081,6,1,0.301269053,0.245605181,0.316296708
19.13513514,6,1,0.301484226,0.247945348,0.319253097
19.45945946,6,1,0.309485655,0.254977413,0.324246508
19.78378378,6,1,0.3223708,0.254982176,0.325391842
20.10810811,6,1,0.333042205,0.255869315,0.33169255
20.43243243,6,1,0.340048402,0.261657413,0.335750954
20.75675676,6,1,0.343519977,0.263535279,0.338336385
21.08108108,6,1,0.352921252,0.26755819,0.342782323
21.40540541,6,1,0.367932271,0.272574468,0.34562286
21.72972973,6,1,0.369996466,0.272758715,0.348863347
22.05405405,6,1,0.375447095,0.278338816,0.352380268
22.37837838,6,1,0.383255443,0.281362157,0.355417809
22.7027027,6,1,0.394733664,0.287231575,0.359387344
23.02702703,6,1,0.401261752,0.289950709,0.360746509
23.35135135,6,1,0.409701041,0.293253037,0.365219546
23.67567568,6,1,0.416085441,0.297820815,0.36829822
24,6,1,0.422053059,0.301075369,0.3704112
0,1,2,0.015722777,0.010812979,0.00905139
0.324324324,1,2,0.016502969,0.019034617,0.010680505
0.648648649,1,2,0.015893326,0.02782623,0.013102532
0.972972973,1,2,0.019650256,0.039133906,0.019577151
1.297297297,1,2,0.035520424,0.060323895,0.029408474
1.621621622,1,2,0.055445535,0.085591294,0.049031112
1.945945946,1,2,0.086182074,0.113232486,0.067135807
2.27027027,1,2,0.112926715,0.122588011,0.083536452
2.594594595,1,2,0.132048012,0.137706321,0.10125669
2.918918919,1,2,0.140716074,0.142300013,0.111273913
3.243243243,1,2,0.144338573,0.147225184,0.119107824
3.567567568,1,2,0.147837233,0.151820844,0.122506002
3.891891892,1,2,0.148424122,0.151977238,0.124604921
4.216216216,1,2,0.147540868,0.154703966,0.12741158
4.540540541,1,2,0.152829732,0.156720616,0.129138363
4.864864865,1,2,0.156477106,0.159744735,0.135134423
5.189189189,1,2,0.159061911,0.16329804,0.134346012
5.513513514,1,2,0.163629571,0.164142101,0.135089457
5.837837838,1,2,0.162286686,0.167729032,0.138448324
6.162162162,1,2,0.166450087,0.172950288,0.141336242
6.486486486,1,2,0.168170948,0.175268796,0.146667289
6.810810811,1,2,0.170112789,0.178831158,0.149221838
7.135135135,1,2,0.173418331,0.179286483,0.151005439
7.459459459,1,2,0.1728071,0.181060815,0.154409151
7.783783784,1,2,0.180622049,0.182833124,0.157030418
8.108108108,1,2,0.182108352,0.184840403,0.161813452
